cq_id,covered,fully_covered,n_tp,n_axioms,rate,tp_axiom_ids,missing_axiom_ids
CQ01,false,false,0,1,0.0000,,AX14
CQ04,true,false,3,10,0.3000,AX3;AX10;AX43,AX5;AX6;AX8;AX15;AX22;AX23;AX42
CQ05,true,true,2,2,1.0000,AX2;AX3,
CQ06,true,false,3,9,0.3333,AX2;AX10;AX43,AX5;AX6;AX7;AX22;AX23;AX42
CQ08,false,false,0,4,0.0000,,AX8;AX15;AX16;AX30
CQ09,false,false,0,2,0.0000,,AX8;AX15
CQ10,true,false,1,4,0.2500,AX40,AX8;AX15;AX19
CQ11,false,false,0,4,0.0000,,AX8;AX15;AX18;AX32
CQ12,false,false,0,4,0.0000,,AX8;AX15;AX17;AX31
CQ18,false,false,0,2,0.0000,,AX8;AX15
CQ19,false,false,0,2,0.0000,,AX8;AX15
CQ20,false,false,0,3,0.0000,,AX8;AX9;AX15
CQ25,false,false,0,7,0.0000,,AX5;AX7;AX8;AX15;AX36;AX37;AX42
CQ33,true,false,1,3,0.3333,AX1,AX12;AX13
CQ34,true,false,1,3,0.3333,AX4,AX12;AX13
CQ37,false,false,0,3,0.0000,,AX14;AX33;AX41
CQ38,true,false,2,7,0.2857,AX38;AX39,AX7;AX11;AX15;AX20;AX21
CQ39,false,false,0,6,0.0000,,AX11;AX15;AX20;AX21;AX28;AX29
CQ40,false,false,0,5,0.0000,,AX15;AX20;AX21;AX34;AX35
CQ42,false,false,0,5,0.0000,,AX15;AX20;AX21;AX24;AX25
CQ43,false,false,0,7,0.0000,,AX15;AX20;AX21;AX24;AX25;AX26;AX27
