prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has measurement,has measurement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has billing period,has billing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9250; levenshtein=0.6250; semantic=0.8312; sequence_match=0.7692,False,0.8418,True,selected
ObjectProperty,has property,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8612; levenshtein=0.5789; semantic=0.7714; sequence_match=0.7333,False,0.7886,True,selected
ObjectProperty,makes measurement,has measurement,semantic+sequence_match+levenshtein,jaro_winkler=0.7855; levenshtein=0.8125; semantic=0.9100; sequence_match=0.8667,False,0.8631,False,pred already taken by 'has measurement'
ObjectProperty,measurement made by,has measurement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6877; levenshtein=0.4706; semantic=0.8119; sequence_match=0.7097,False,0.7364,False,pred already taken by 'has measurement'
ObjectProperty,has property,has chemical property,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8593; levenshtein=0.5789; semantic=0.6113; sequence_match=0.7333,False,0.7347,False,gold already mapped to 'has physical property'
ObjectProperty,hasGeometry,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8162; levenshtein=0.4545; semantic=0.6151; sequence_match=0.6000,False,0.6771,False,top-3 avg score 0.6771 < final_threshold 0.7
ObjectProperty,hasGeometry,has geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8273; levenshtein=0.5000; semantic=0.6331; sequence_match=0.5600,False,0.6734,False,top-3 avg score 0.6734 < final_threshold 0.7
ObjectProperty,has measurement,has asset,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8208; levenshtein=0.5000; semantic=0.5502; sequence_match=0.6364,False,0.6691,False,top-3 avg score 0.6691 < final_threshold 0.7
ObjectProperty,has property,has asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6932; levenshtein=0.4545; semantic=0.7765; sequence_match=0.5263,False,0.6653,False,top-3 avg score 0.6653 < final_threshold 0.7
ObjectProperty,is measured by device,has measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6402; levenshtein=0.4444; semantic=0.7895; sequence_match=0.5625,False,0.6641,False,top-3 avg score 0.6641 < final_threshold 0.7
ObjectProperty,has period,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8056; levenshtein=0.5556; semantic=0.6039; sequence_match=0.5556,False,0.655,False,top-3 avg score 0.6550 < final_threshold 0.7
ObjectProperty,has duration,has actuator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7970; levenshtein=0.4545; semantic=0.4872; sequence_match=0.6364,False,0.6402,False,top-3 avg score 0.6402 < final_threshold 0.7
ObjectProperty,has period,has tariff,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7926; levenshtein=0.5556; semantic=0.5079; sequence_match=0.5556,False,0.6346,False,top-3 avg score 0.6346 < final_threshold 0.7
ObjectProperty,has duration,has geolocation,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6829; levenshtein=0.5714; semantic=0.4752; sequence_match=0.6400,False,0.6314,False,top-3 avg score 0.6314 < final_threshold 0.7
ObjectProperty,has duration,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6987; levenshtein=0.3889; semantic=0.6119; sequence_match=0.5517,False,0.6208,False,top-3 avg score 0.6208 < final_threshold 0.7
ObjectProperty,has measurement,has sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6429; levenshtein=0.4286; semantic=0.6521; sequence_match=0.5217,False,0.6056,False,top-3 avg score 0.6056 < final_threshold 0.7
ObjectProperty,has duration,has tariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8300; levenshtein=0.4545; semantic=0.4769; sequence_match=0.5000,False,0.6023,False,top-3 avg score 0.6023 < final_threshold 0.7
ObjectProperty,hasGeometry,has measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6829; levenshtein=0.3571; semantic=0.6420; sequence_match=0.4800,False,0.6016,False,top-3 avg score 0.6016 < final_threshold 0.7
ObjectProperty,has duration,has measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6829; levenshtein=0.3571; semantic=0.6359; sequence_match=0.4800,False,0.5996,False,top-3 avg score 0.5996 < final_threshold 0.7
ObjectProperty,feature is measured by device,has measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5904; levenshtein=0.4000; semantic=0.6867; sequence_match=0.5128,False,0.5966,False,top-3 avg score 0.5966 < final_threshold 0.7
ObjectProperty,hasGeometry,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6932; levenshtein=0.4545; semantic=0.5693; sequence_match=0.5263,False,0.5963,False,top-3 avg score 0.5963 < final_threshold 0.7
ObjectProperty,hasGeometry,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6899; levenshtein=0.3684; semantic=0.5381; sequence_match=0.5333,False,0.5871,False,top-3 avg score 0.5871 < final_threshold 0.7
ObjectProperty,has duration,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6932; levenshtein=0.3636; semantic=0.5290; sequence_match=0.5263,False,0.5828,False,top-3 avg score 0.5828 < final_threshold 0.7
ObjectProperty,has property,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.3636; semantic=0.6243; sequence_match=0.4000,False,0.5687,False,top-3 avg score 0.5687 < final_threshold 0.7
ObjectProperty,has phenomenon time,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6618; levenshtein=0.3333; semantic=0.6391; sequence_match=0.4000,False,0.567,False,top-3 avg score 0.5670 < final_threshold 0.7
ObjectProperty,has measurement,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7956; levenshtein=0.3889; semantic=0.4617; sequence_match=0.4375,False,0.565,False,top-3 avg score 0.5650 < final_threshold 0.7
ObjectProperty,has period,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.5691; sequence_match=0.4706,False,0.5626,False,top-3 avg score 0.5626 < final_threshold 0.7
ObjectProperty,has property,has measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6025; levenshtein=0.3571; semantic=0.5990; sequence_match=0.4800,False,0.5605,False,top-3 avg score 0.5605 < final_threshold 0.7
