prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasVintageYear,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9429; levenshtein=0.7143; semantic=0.8805; sequence_match=0.8333,False,0.8856,True,selected
ObjectProperty,madeFromGrape,made from,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9231; levenshtein=0.6154; semantic=0.7115; sequence_match=0.7619,False,0.7988,True,selected
ObjectProperty,hasVintageYear,vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6706; levenshtein=0.2857; semantic=0.8282; sequence_match=0.5143,False,0.671,False,top-3 avg score 0.6710 < final_threshold 0.7
ObjectProperty,hasFlavor,has vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.6585; sequence_match=0.4211,False,0.566,False,top-3 avg score 0.5660 < final_threshold 0.7
ObjectProperty,hasColor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.6426; sequence_match=0.4000,False,0.5608,False,top-3 avg score 0.5608 < final_threshold 0.7
ObjectProperty,hasSugar,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.4000; semantic=0.5748; sequence_match=0.4444,False,0.5536,False,top-3 avg score 0.5536 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6510; levenshtein=0.2941; semantic=0.5605; sequence_match=0.4444,False,0.552,False,top-3 avg score 0.5520 < final_threshold 0.7
ObjectProperty,hasFlavor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6166; levenshtein=0.2941; semantic=0.6483; sequence_match=0.3846,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.7
ObjectProperty,hasBody,has vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5762; levenshtein=0.3000; semantic=0.6549; sequence_match=0.3529,False,0.528,False,top-3 avg score 0.5280 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6255; levenshtein=0.3529; semantic=0.5353; sequence_match=0.4118,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.7
ObjectProperty,hasColor,has vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5583; levenshtein=0.3000; semantic=0.6744; sequence_match=0.3333,False,0.522,False,top-3 avg score 0.5220 < final_threshold 0.7
ObjectProperty,hasSugar,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.5188; sequence_match=0.4000,False,0.5195,False,top-3 avg score 0.5195 < final_threshold 0.7
ObjectProperty,hasVintageYear,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5973; levenshtein=0.2941; semantic=0.5839; sequence_match=0.3226,False,0.5013,False,top-3 avg score 0.5013 < final_threshold 0.7
ObjectProperty,hasFlavor,made from,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5648; levenshtein=0.2222; semantic=0.5767; sequence_match=0.3529,False,0.4982,False,top-3 avg score 0.4982 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,vintage characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5924; levenshtein=0.2381; semantic=0.5635; sequence_match=0.3158,False,0.4906,False,top-3 avg score 0.4906 < final_threshold 0.7
ObjectProperty,hasBody,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5350; levenshtein=0.1765; semantic=0.6439; sequence_match=0.2500,False,0.4763,False,top-3 avg score 0.4763 < final_threshold 0.7
ObjectProperty,locatedIn,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5499; levenshtein=0.2941; semantic=0.4808; sequence_match=0.3846,False,0.4718,False,top-3 avg score 0.4718 < final_threshold 0.7
ObjectProperty,locatedIn,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5519; levenshtein=0.0000; semantic=0.5223; sequence_match=0.3158,False,0.4633,False,top-3 avg score 0.4633 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,made from,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4951; levenshtein=0.2941; semantic=0.4466; sequence_match=0.4000,False,0.4472,False,top-3 avg score 0.4472 < final_threshold 0.7
ObjectProperty,hasColor,vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4802; levenshtein=0.1429; semantic=0.5615; sequence_match=0.2759,False,0.4392,False,top-3 avg score 0.4392 < final_threshold 0.7
ObjectProperty,locatedIn,vintage characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5397; levenshtein=0.2381; semantic=0.4255; sequence_match=0.3333,False,0.4328,False,top-3 avg score 0.4328 < final_threshold 0.7
ObjectProperty,hasSugar,made from,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5000; levenshtein=0.1250; semantic=0.5445; sequence_match=0.2500,False,0.4315,False,top-3 avg score 0.4315 < final_threshold 0.7
ObjectProperty,hasBody,made from,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4901; levenshtein=0.1250; semantic=0.5262; sequence_match=0.2667,False,0.4276,False,top-3 avg score 0.4276 < final_threshold 0.7
ObjectProperty,hasColor,made from,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4722; levenshtein=0.2500; semantic=0.5584; sequence_match=0.2500,False,0.4269,False,top-3 avg score 0.4269 < final_threshold 0.7
ObjectProperty,madeFromGrape,vintage characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5287; levenshtein=0.1905; semantic=0.4462; sequence_match=0.2941,False,0.423,False,top-3 avg score 0.4230 < final_threshold 0.7
ObjectProperty,hasFlavor,vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5312; levenshtein=0.1429; semantic=0.5351; sequence_match=0.2000,False,0.4221,False,top-3 avg score 0.4221 < final_threshold 0.7
ObjectProperty,hasVintageYear,made from,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4643; levenshtein=0.1429; semantic=0.5143; sequence_match=0.2727,False,0.4171,False,top-3 avg score 0.4171 < final_threshold 0.7
ObjectProperty,madeFromGrape,has vintage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4859; levenshtein=0.2308; semantic=0.5200; sequence_match=0.1739,False,0.4122,False,top-3 avg score 0.4122 < final_threshold 0.7
ObjectProperty,hasSugar,vintage characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5544; levenshtein=0.1429; semantic=0.4450; sequence_match=0.2069,False,0.4021,False,top-3 avg score 0.4021 < final_threshold 0.7
ObjectProperty,madeFromGrape,has characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4929; levenshtein=0.1765; semantic=0.4419; sequence_match=0.2667,False,0.4005,False,top-3 avg score 0.4005 < final_threshold 0.7
ObjectProperty,locatedIn,made from,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4907; levenshtein=0.1111; semantic=0.4935; sequence_match=0.1176,False,0.3673,False,top-3 avg score 0.3673 < final_threshold 0.7
ObjectProperty,hasBody,vintage characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.2937; levenshtein=0.0952; semantic=0.5083; sequence_match=0.2143,False,0.3387,False,top-3 avg score 0.3387 < final_threshold 0.7
DatatypeProperty,yearValue,vintage year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4360; levenshtein=0.0909; semantic=0.6663; sequence_match=0.4000,False,0.5008,False,top-3 avg score 0.5008 < final_threshold 0.7
DatatypeProperty,yearValue,vintage quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5873; levenshtein=0.2143; semantic=0.5544; sequence_match=0.2609,False,0.4675,False,top-3 avg score 0.4675 < final_threshold 0.7
