prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,is measured by device,is measured by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8728; sequence_match=0.8000,False,0.8687,True,selected
ObjectProperty,has duration,has location,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8727; levenshtein=0.7273; semantic=0.5126; sequence_match=0.7273,False,0.7758,True,selected
ObjectProperty,measurement made by,is measured by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7405; levenshtein=0.4706; semantic=0.8405; sequence_match=0.6897,False,0.7569,False,pred already taken by 'is measured by device'
ObjectProperty,has measurement,is measured by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6627; levenshtein=0.5714; semantic=0.8848; sequence_match=0.6154,False,0.721,False,pred already taken by 'is measured by device'
ObjectProperty,feature is measured by device,is measured by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7156; levenshtein=0.4800; semantic=0.7084; sequence_match=0.6486,False,0.6909,False,top-3 avg score 0.6909 < final_threshold 0.7
ObjectProperty,measurement made by,measures indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8406; levenshtein=0.4706; semantic=0.6856; sequence_match=0.5294,False,0.6852,False,top-3 avg score 0.6852 < final_threshold 0.7
ObjectProperty,makes measurement,is measured by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5972; levenshtein=0.5000; semantic=0.8763; sequence_match=0.5714,False,0.6816,False,top-3 avg score 0.6816 < final_threshold 0.7
ObjectProperty,hasGeometry,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8162; levenshtein=0.4545; semantic=0.6151; sequence_match=0.6000,False,0.6771,False,top-3 avg score 0.6771 < final_threshold 0.7
ObjectProperty,has period,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8056; levenshtein=0.5556; semantic=0.6039; sequence_match=0.5556,False,0.655,False,top-3 avg score 0.6550 < final_threshold 0.7
ObjectProperty,makes measurement,measures indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6570; levenshtein=0.2353; semantic=0.7532; sequence_match=0.5455,False,0.6519,False,top-3 avg score 0.6519 < final_threshold 0.7
ObjectProperty,has measurement,measures indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6342; levenshtein=0.3529; semantic=0.7400; sequence_match=0.5806,False,0.6516,False,top-3 avg score 0.6516 < final_threshold 0.7
ObjectProperty,is measured by device,measures indicator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6797; levenshtein=0.3889; semantic=0.6925; sequence_match=0.5714,False,0.6479,False,top-3 avg score 0.6479 < final_threshold 0.7
ObjectProperty,has key performance indicator,has water indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6864; levenshtein=0.5385; semantic=0.5926; sequence_match=0.6512,False,0.6434,False,top-3 avg score 0.6434 < final_threshold 0.7
ObjectProperty,has duration,has actuator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7970; levenshtein=0.4545; semantic=0.4872; sequence_match=0.6364,False,0.6402,False,top-3 avg score 0.6402 < final_threshold 0.7
ObjectProperty,has period,has tariff,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7926; levenshtein=0.5556; semantic=0.5079; sequence_match=0.5556,False,0.6346,False,top-3 avg score 0.6346 < final_threshold 0.7
ObjectProperty,hasGeometry,has water meter,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6976; levenshtein=0.5385; semantic=0.5276; sequence_match=0.6667,False,0.6342,False,top-3 avg score 0.6342 < final_threshold 0.7
ObjectProperty,has measurement,has water meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8328; levenshtein=0.4286; semantic=0.6229; sequence_match=0.4444,False,0.6334,False,top-3 avg score 0.6334 < final_threshold 0.7
ObjectProperty,has duration,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6987; levenshtein=0.3889; semantic=0.6119; sequence_match=0.5517,False,0.6208,False,top-3 avg score 0.6208 < final_threshold 0.7
ObjectProperty,has key performance indicator,measures indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6864; levenshtein=0.4231; semantic=0.5900; sequence_match=0.5581,False,0.6115,False,top-3 avg score 0.6115 < final_threshold 0.7
ObjectProperty,has measurement,has sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6429; levenshtein=0.4286; semantic=0.6521; sequence_match=0.5217,False,0.6056,False,top-3 avg score 0.6056 < final_threshold 0.7
ObjectProperty,has duration,has tariff,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8300; levenshtein=0.4545; semantic=0.4769; sequence_match=0.5000,False,0.6023,False,top-3 avg score 0.6023 < final_threshold 0.7
ObjectProperty,has period,has water indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8109; levenshtein=0.4118; semantic=0.4464; sequence_match=0.5385,False,0.5986,False,top-3 avg score 0.5986 < final_threshold 0.7
ObjectProperty,has duration,has water indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8127; levenshtein=0.3529; semantic=0.4610; sequence_match=0.5000,False,0.5912,False,top-3 avg score 0.5912 < final_threshold 0.7
ObjectProperty,has property,has water meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.3846; semantic=0.5932; sequence_match=0.5000,False,0.5902,False,top-3 avg score 0.5902 < final_threshold 0.7
ObjectProperty,feature is measured by device,measures indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6719; levenshtein=0.2800; semantic=0.6167; sequence_match=0.4762,False,0.5883,False,top-3 avg score 0.5883 < final_threshold 0.7
ObjectProperty,isKPIOf,is asset of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.5632; sequence_match=0.5000,False,0.5784,False,top-3 avg score 0.5784 < final_threshold 0.7
ObjectProperty,isKPIOf,is sensor of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6571; levenshtein=0.4000; semantic=0.5788; sequence_match=0.4706,False,0.5688,False,top-3 avg score 0.5688 < final_threshold 0.7
ObjectProperty,has property,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.3636; semantic=0.6243; sequence_match=0.4000,False,0.5687,False,top-3 avg score 0.5687 < final_threshold 0.7
ObjectProperty,has phenomenon time,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6618; levenshtein=0.3333; semantic=0.6391; sequence_match=0.4000,False,0.567,False,top-3 avg score 0.5670 < final_threshold 0.7
ObjectProperty,has property,has location,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6364; levenshtein=0.2727; semantic=0.6069; sequence_match=0.4545,False,0.5659,False,top-3 avg score 0.5659 < final_threshold 0.7
ObjectProperty,has measurement,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7956; levenshtein=0.3889; semantic=0.4617; sequence_match=0.4375,False,0.565,False,top-3 avg score 0.5650 < final_threshold 0.7
ObjectProperty,has period,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.6083; sequence_match=0.4444,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,has measurement,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6645; levenshtein=0.2857; semantic=0.5331; sequence_match=0.4800,False,0.5592,False,top-3 avg score 0.5592 < final_threshold 0.7
ObjectProperty,has duration,measures indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6991; levenshtein=0.2941; semantic=0.4702; sequence_match=0.5000,False,0.5564,False,top-3 avg score 0.5564 < final_threshold 0.7
ObjectProperty,has phenomenon time,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6732; levenshtein=0.3529; semantic=0.5320; sequence_match=0.4615,False,0.5556,False,top-3 avg score 0.5556 < final_threshold 0.7
