prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasPolicy,has policy,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,prohibition,has prohibition,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8680; levenshtein=0.7857; semantic=0.8858; sequence_match=0.8800,False,0.8779,True,selected
ObjectProperty,permission,has permission,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9382; sequence_match=0.8696,False,0.877,True,selected
ObjectProperty,constraint,has constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,True,selected
ObjectProperty,consequence,has consequence,sequence_match+jaro_winkler+semantic,jaro_winkler=0.8680; levenshtein=0.7857; semantic=0.8598; sequence_match=0.8800,False,0.8693,True,selected
ObjectProperty,remedy,has remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8339; sequence_match=0.8000,False,0.8409,True,selected
ObjectProperty,failure,has failure rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7857; levenshtein=0.5000; semantic=0.7813; sequence_match=0.6667,False,0.7446,True,selected
ObjectProperty,andSequence,has sequencing,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7809; levenshtein=0.5385; semantic=0.7775; sequence_match=0.6667,False,0.7417,True,selected
ObjectProperty,duty,has duty,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.5714; semantic=0.8559; sequence_match=0.7273,False,0.7182,True,selected
ObjectProperty,hasPolicy,is policy of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8259; levenshtein=0.6000; semantic=0.7803; sequence_match=0.7368,False,0.781,False,gold already mapped to 'has policy'
ObjectProperty,andSequence,has consequence,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.7411; levenshtein=0.6429; semantic=0.4854; sequence_match=0.8000,False,0.728,False,gold already mapped to 'has sequencing'
ObjectProperty,hasPolicy,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.5556; semantic=0.6277; sequence_match=0.6250,False,0.6941,False,top-3 avg score 0.6941 < final_threshold 0.7
ObjectProperty,constraint,has nested constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5830; levenshtein=0.5263; semantic=0.7931; sequence_match=0.6897,False,0.6886,False,top-3 avg score 0.6886 < final_threshold 0.7
ObjectProperty,hasPolicy,has party,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8361; levenshtein=0.5556; semantic=0.5838; sequence_match=0.5882,False,0.6694,False,top-3 avg score 0.6694 < final_threshold 0.7
ObjectProperty,conflict,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7586; levenshtein=0.2759; semantic=0.7470; sequence_match=0.4324,False,0.646,False,top-3 avg score 0.6460 < final_threshold 0.7
ObjectProperty,operator,has logical operator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4907; levenshtein=0.4444; semantic=0.7882; sequence_match=0.6154,False,0.6315,False,top-3 avg score 0.6315 < final_threshold 0.7
ObjectProperty,action,has condition,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6833; levenshtein=0.5000; semantic=0.5271; sequence_match=0.6667,False,0.6257,False,top-3 avg score 0.6257 < final_threshold 0.7
ObjectProperty,consequence,has sequencing,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7249; levenshtein=0.5385; semantic=0.5218; sequence_match=0.5833,False,0.6156,False,top-3 avg score 0.6156 < final_threshold 0.7
ObjectProperty,hasPolicy,has rule,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6712; sequence_match=0.5000,False,0.6144,False,top-3 avg score 0.6144 < final_threshold 0.7
ObjectProperty,constraint,has condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6972; levenshtein=0.2500; semantic=0.5957; sequence_match=0.5455,False,0.6128,False,top-3 avg score 0.6128 < final_threshold 0.7
ObjectProperty,obligation,has prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6381; levenshtein=0.3571; semantic=0.5893; sequence_match=0.5833,False,0.6036,False,top-3 avg score 0.6036 < final_threshold 0.7
ObjectProperty,hasPolicy,has duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6264; sequence_match=0.5000,False,0.5994,False,top-3 avg score 0.5994 < final_threshold 0.7
ObjectProperty,hasPolicy,has prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.4286; semantic=0.5553; sequence_match=0.5217,False,0.5918,False,top-3 avg score 0.5918 < final_threshold 0.7
ObjectProperty,permission,has prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6381; levenshtein=0.3571; semantic=0.6289; sequence_match=0.5000,False,0.589,False,top-3 avg score 0.5890 < final_threshold 0.7
ObjectProperty,prohibition,has permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.3077; semantic=0.5895; sequence_match=0.5000,False,0.589,False,top-3 avg score 0.5890 < final_threshold 0.7
ObjectProperty,partOf,has party,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6389; levenshtein=0.3750; semantic=0.5387; sequence_match=0.5714,False,0.583,False,top-3 avg score 0.5830 < final_threshold 0.7
ObjectProperty,scope,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5690; sequence_match=0.5000,False,0.5817,False,top-3 avg score 0.5817 < final_threshold 0.7
