gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Actuator,Actuator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ChemicalProperty,Chemical Property,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Measurement,Measurement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Sensor,Sensor,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Tariff,Tariff,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water,Water,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water meter,Water Meter,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water infrastructure,Water Distribution Infrastructure,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8699; levenshtein=0.6129; semantic=0.9136; sequence_match=0.7600,False,0.8479,True,selected
Temporal entity,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9437; levenshtein=0.7333; semantic=0.7760; sequence_match=0.7586,False,0.8261,True,selected
Water property,Water Physical Property,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8777; levenshtein=0.6190; semantic=0.7252; sequence_match=0.7647,False,0.7892,True,selected
Water asset,Asset,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6500; levenshtein=0.5000; semantic=0.7889; sequence_match=0.6667,False,0.7019,True,selected
Meter,Meter Tariff Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8625; levenshtein=0.3125; semantic=0.6688; sequence_match=0.4762,False,0.6691,True,selected
Acceptability property,Physical Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6567; levenshtein=0.4762; semantic=0.6930; sequence_match=0.5405,False,0.6301,True,selected
Key Performance Indicator,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.4783; semantic=0.5980; sequence_match=0.5946,False,0.6063,True,selected
Actuator,Actuator Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8004; sequence_match=0.8000,False,0.8446,False,gold already mapped to 'Actuator'
Sensor,Sensor Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.8433; sequence_match=0.7500,False,0.8378,False,gold already mapped to 'Sensor'
ChemicalProperty,Physical Property,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8494; levenshtein=0.8125; semantic=0.7273; sequence_match=0.8125,False,0.8248,False,gold already mapped to 'Chemical Property'
Water asset,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7825; sequence_match=0.6667,False,0.783,False,pred already taken by 'Water' (higher averaged score)
Temporal duration,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8842; levenshtein=0.6250; semantic=0.7138; sequence_match=0.7097,False,0.7692,False,pred already taken by 'Temporal entity' (higher averaged score)
Water,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7251; sequence_match=0.6667,False,0.7639,False,gold already mapped to 'Water'
Water meter,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7251; sequence_match=0.6667,False,0.7639,False,gold already mapped to 'Water Meter'
Water asset,Water Meter,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8800; levenshtein=0.6000; semantic=0.6763; sequence_match=0.7000,False,0.7521,False,pred already taken by 'Water meter' (higher averaged score)
Water property,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8769; levenshtein=0.3846; semantic=0.7434; sequence_match=0.5556,False,0.7253,False,gold already mapped to 'Water Physical Property'
Water meter,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8400; levenshtein=0.5000; semantic=0.7187; sequence_match=0.5833,False,0.714,False,gold already mapped to 'Water Meter'
Water,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8714; levenshtein=0.3571; semantic=0.7301; sequence_match=0.5263,False,0.7093,False,gold already mapped to 'Water'
Water property,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8581; levenshtein=0.5385; semantic=0.6433; sequence_match=0.6087,False,0.7033,False,gold already mapped to 'Water Physical Property'
ChemicalProperty,Water Physical Property,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7044; levenshtein=0.6190; semantic=0.6691; sequence_match=0.7027,False,0.6921,False,gold already mapped to 'Chemical Property'
Water asset,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8400; levenshtein=0.4286; semantic=0.6505; sequence_match=0.5833,False,0.6913,False,gold already mapped to 'Asset'
Meter,Water Meter,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5667; levenshtein=0.5000; semantic=0.8181; sequence_match=0.6667,False,0.6838,False,pred already taken by 'Water meter' (higher averaged score)
Water infrastructure,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8526; levenshtein=0.2632; semantic=0.7618; sequence_match=0.4167,False,0.677,False,gold already mapped to 'Water Distribution Infrastructure'
Tariff,Meter Tariff Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7361; levenshtein=0.3750; semantic=0.7080; sequence_match=0.5455,False,0.6632,False,gold already mapped to 'Tariff'
Water infrastructure,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8548; levenshtein=0.4737; semantic=0.6409; sequence_match=0.4848,False,0.6602,False,gold already mapped to 'Water Distribution Infrastructure'
Water property,Physical Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6775; levenshtein=0.5000; semantic=0.6818; sequence_match=0.6207,False,0.66,False,gold already mapped to 'Water Physical Property'
