Gold_term,Pre_term,Method,Score
.csv,CSV Format,top3_avg(jaro_winkler+semantic+sequence_match),0.7421204814204462
CEL ASCII format,CEL File Format,top3_avg(jaro_winkler+semantic+sequence_match),0.8040957731716087
CEL binary format,Open Data Format,top3_avg(jaro_winkler+semantic+sequence_match),0.6672883687623695
Development status,Development Model,top3_avg(jaro_winkler+semantic+sequence_match),0.7435048738336252
Free,Free,hard_match,1.0
Maintained,Actively Maintained,top3_avg(jaro_winkler+semantic+sequence_match),0.7967931859917953
Not Free,Non-Free,top3_avg(jaro_winkler+levenshtein+semantic),0.9100923296005007
Open source software license,Open Source License,top3_avg(jaro_winkler+semantic+sequence_match),0.8918482452676632
Source code available,Open Source Development,top3_avg(jaro_winkler+semantic+sequence_match),0.6158286955123556
algorithm,Algorithm,hard_match,1.0
data format specification,Data Format,top3_avg(jaro_winkler+semantic+sequence_match),0.7778052259444354
data item,Data,top3_avg(jaro_winkler+semantic+sequence_match),0.7815332425965202
function,Modification,top3_avg(jaro_winkler+semantic+sequence_match),0.605713834144451
plain text file format,TXT Format,top3_avg(levenshtein+semantic+sequence_match),0.6447218946346962
programming language,Programming Language,hard_match,1.0
software,Software Type,top3_avg(jaro_winkler+semantic+sequence_match),0.8460435019599067
software developer organization,Software License,top3_avg(jaro_winkler+semantic+sequence_match),0.6367482902287409
software developer role,Developer,top3_avg(jaro_winkler+semantic+sequence_match),0.6613310362506376
software interface,Software Source,top3_avg(jaro_winkler+semantic+sequence_match),0.7603004664278873
version number,Version,top3_avg(jaro_winkler+semantic+sequence_match),0.8497086188732048
web service,Web Service,hard_match,1.0
