gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Free,Free,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,Programming Language,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
web service,Web Service,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Not Free,Non-Free,semantic+jaro_winkler+levenshtein,jaro_winkler=0.9238; levenshtein=0.8571; semantic=0.9493; sequence_match=0.8571,False,0.9101,True,selected
Open source software license,Open Source License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9007; levenshtein=0.6800; semantic=0.9653; sequence_match=0.8095,False,0.8918,True,selected
version number,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9077; levenshtein=0.5385; semantic=0.9414; sequence_match=0.7000,False,0.8497,True,selected
software,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8048; sequence_match=0.8000,False,0.846,True,selected
CEL ASCII format,CEL File Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8562; levenshtein=0.6429; semantic=0.8154; sequence_match=0.7407,False,0.8041,True,selected
Maintained,Actively Maintained,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7852; levenshtein=0.5556; semantic=0.8909; sequence_match=0.7143,False,0.7968,True,selected
data item,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7779; sequence_match=0.6667,False,0.7815,True,selected
data format specification,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8870; levenshtein=0.4348; semantic=0.8404; sequence_match=0.6061,False,0.7778,True,selected
software interface,Software Source,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8684; levenshtein=0.6471; semantic=0.7029; sequence_match=0.7097,False,0.7603,True,selected
Development status,Development Model,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8669; levenshtein=0.6471; semantic=0.6969; sequence_match=0.6667,False,0.7435,True,selected
.csv,CSV Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8444; levenshtein=0.3333; semantic=0.8819; sequence_match=0.5000,False,0.7421,True,selected
CEL binary format,Open Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7106; levenshtein=0.4667; semantic=0.6706; sequence_match=0.6207,False,0.6673,True,selected
software developer role,Developer,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6614; levenshtein=0.4286; semantic=0.7226; sequence_match=0.6000,False,0.6613,True,selected
plain text file format,TXT Format,semantic+sequence_match+levenshtein,jaro_winkler=0.4729; levenshtein=0.4737; semantic=0.8176; sequence_match=0.6429,False,0.6447,True,selected
software developer organization,Software License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8322; levenshtein=0.3793; semantic=0.6235; sequence_match=0.4545,False,0.6367,True,selected
Source code available,Open Source Development,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5677; levenshtein=0.3333; semantic=0.7298; sequence_match=0.5500,False,0.6158,True,selected
function,Modification,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6389; levenshtein=0.4167; semantic=0.5783; sequence_match=0.6000,False,0.6057,True,selected
algorithm,Algorithm Usage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9286; levenshtein=0.6429; semantic=0.7947; sequence_match=0.7826,False,0.8353,False,gold already mapped to 'Algorithm'
software,Software Source,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.8222; sequence_match=0.7273,False,0.8213,False,gold already mapped to 'Software Type'
software,Software License,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9067; levenshtein=0.5333; semantic=0.8122; sequence_match=0.6957,False,0.8048,False,gold already mapped to 'Software Type'
CEL binary format,CEL File Format,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7984; levenshtein=0.6667; semantic=0.8754; sequence_match=0.7143,False,0.796,False,pred already taken by 'CEL ASCII format' (higher averaged score)
Open source software license,Software License,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7111; levenshtein=0.6000; semantic=0.8996; sequence_match=0.7500,False,0.7869,False,gold already mapped to 'Open Source License'
software interface,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8843; levenshtein=0.5882; semantic=0.6985; sequence_match=0.6897,False,0.7575,False,gold already mapped to 'Software Source'
software interface,Software License,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9109; levenshtein=0.5882; semantic=0.6611; sequence_match=0.6875,False,0.7532,False,gold already mapped to 'Software Source'
Open source software license,Open Source Development,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8744; levenshtein=0.5200; semantic=0.7383; sequence_match=0.6087,False,0.7405,False,gold already mapped to 'Open Source License'
Development status,Developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8719; levenshtein=0.4706; semantic=0.7202; sequence_match=0.6154,False,0.7358,False,gold already mapped to 'Development Model'
Maintained,Maintenance Status,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8291; levenshtein=0.4118; semantic=0.7617; sequence_match=0.5926,False,0.7278,False,gold already mapped to 'Actively Maintained'
Free,Non-Free,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.7799; sequence_match=0.7273,False,0.6929,False,gold already mapped to 'Free'
plain text file format,CEL File Format,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6849; levenshtein=0.5789; semantic=0.7035; sequence_match=0.6875,False,0.692,False,pred already taken by 'CEL ASCII format' (higher averaged score)
CEL ASCII format,CSV Format,sequence_match+jaro_winkler+semantic,jaro_winkler=0.6951; levenshtein=0.5714; semantic=0.6809; sequence_match=0.6957,False,0.6905,False,gold already mapped to 'CEL File Format'
software developer role,Software Type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8419; levenshtein=0.4762; semantic=0.6098; sequence_match=0.6061,False,0.6859,False,pred already taken by 'software' (higher averaged score)
data item,Data Format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8367; levenshtein=0.5000; semantic=0.6561; sequence_match=0.5556,False,0.6828,False,gold already mapped to 'Data'
