cq_id,covered,fully_covered,n_tp,n_axioms,rate,tp_axiom_ids,missing_axiom_ids
CQ03,false,false,0,7,0.0000,,AX5;AX8;AX9;AX34;AX35;AX48;AX49
CQ06,true,false,1,11,0.0909,AX16,AX2;AX3;AX5;AX12;AX13;AX14;AX15;AX17;AX30;AX31
CQ08,false,false,0,5,0.0000,,AX7;AX43;AX44;AX50;AX51
CQ10,true,false,1,23,0.0435,AX16,AX2;AX3;AX4;AX5;AX6;AX7;AX12;AX13;AX14;AX15;AX17;AX25;AX26;AX27;AX30;AX31;AX40;AX41;AX48;AX49;AX50;AX51
CQ13,true,false,1,3,0.3333,AX42,AX23;AX24
CQ14,true,false,1,6,0.1667,AX42,AX10;AX23;AX24;AX45;AX60
CQ21,false,false,0,7,0.0000,,AX2;AX23;AX24;AX40;AX41;AX43;AX44
CQ24,false,false,0,7,0.0000,,AX5;AX8;AX9;AX23;AX24;AX48;AX49
CQ26,true,false,1,7,0.1429,AX42,AX23;AX24;AX38;AX39;AX43;AX44
CQ30,false,false,0,8,0.0000,,AX1;AX46;AX47;AX52;AX53;AX57;AX58;AX59
CQ31,false,false,0,5,0.0000,,AX2;AX11;AX20;AX21;AX22
CQ33,false,false,0,2,0.0000,,AX36;AX37
CQNew1,false,false,0,2,0.0000,,AX32;AX33
CQNew2,false,false,0,2,0.0000,,AX18;AX19
CQNew3,false,false,0,6,0.0000,,AX2;AX4;AX7;AX54;AX55;AX56
CQNew4,false,false,0,4,0.0000,,AX20;AX28;AX29;AX54
CQNew5,false,false,0,4,0.0000,,AX2;AX20;AX21;AX22
CQNew6,false,false,0,7,0.0000,,AX7;AX23;AX24;AX43;AX44;AX50;AX51
