id,source,term_type,axiom_type,term,dl,status,note
AX1-gold,gold,Class,Declaration,.csv,Declaration: .csv (Class),TP,matched pred AX7
AX1-pred,pred,Class,Declaration,CSV File Format,Declaration: CSV File Format (Class),-,-
AX2-gold,gold,Class,Declaration,CEL ASCII format,Declaration: CEL ASCII format (Class),TP,matched pred AX4
AX2-pred,pred,Class,Declaration,CEL File Format,Declaration: CEL File Format (Class),-,-
AX3-gold,gold,Class,Declaration,CEL binary format,Declaration: CEL binary format (Class),TP,matched pred AX32
AX3-pred,pred,Class,Declaration,Open Data Format,Declaration: Open Data Format (Class),-,-
AX4-gold,gold,Class,Declaration,Development status,Declaration: Development status (Class),TP,matched pred AX13
AX4-pred,pred,Class,Declaration,Developer,Declaration: Developer (Class),-,-
AX5-gold,gold,Class,Declaration,Free,Declaration: Free (Class),Skip,subject 'Free' not in alignment table
AX5-pred,pred,-,-,-,(subject not in alignment table),-,-
AX6-gold,gold,Class,SubClassOf,Free,Free ⊑ Purchase cost,Skip,subject 'Free' not in alignment table
AX6-pred,pred,-,-,-,(subject not in alignment table),-,-
AX7-gold,gold,Class,Declaration,GIF,Declaration: GIF (Class),Skip,subject 'GIF' not in alignment table
AX7-pred,pred,-,-,-,(subject not in alignment table),-,-
AX8-gold,gold,Class,Declaration,Maintained,Declaration: Maintained (Class),Skip,subject 'Maintained' not in alignment table
AX8-pred,pred,-,-,-,(subject not in alignment table),-,-
AX9-gold,gold,Class,SubClassOf,Maintained,Maintained ⊑ Development status,Skip,subject 'Maintained' not in alignment table
AX9-pred,pred,-,-,-,(subject not in alignment table),-,-
AX10-gold,gold,Class,Declaration,Not Free,Declaration: Not Free (Class),Skip,subject 'Not Free' not in alignment table
AX10-pred,pred,-,-,-,(subject not in alignment table),-,-
AX11-gold,gold,Class,SubClassOf,Not Free,Not Free ⊑ Purchase cost,Skip,subject 'Not Free' not in alignment table
AX11-pred,pred,-,-,-,(subject not in alignment table),-,-
AX12-gold,gold,Class,Declaration,Open source software license,Declaration: Open source software license (Class),TP,matched pred AX19
AX12-pred,pred,Class,Declaration,FOSS License,Declaration: FOSS License (Class),-,-
AX13-gold,gold,Class,EquivalentClasses,Open source software license,Open source software license ≡ ∃has clause.Source code available,FN,pred has no EquivalentClasses axiom on 'FOSS License'
AX13-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX14-gold,gold,Class,SubClassOf,Open source software license,Open source software license ⊑ licence,TP,matched pred AX20
AX14-pred,pred,Class,SubClassOf,FOSS License,FOSS License ⊑ License,-,-
AX15-gold,gold,Class,SubClassOf,Open source software license,Open source software license ⊑ ∃has clause.Source code available,FN,pred has no SubClassOf axiom on 'FOSS License'
AX15-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX16-gold,gold,Class,Declaration,PROcess,Declaration: PROcess (Class),Skip,subject 'PROcess' not in alignment table
AX16-pred,pred,-,-,-,(subject not in alignment table),-,-
AX17-gold,gold,Class,Declaration,Purchase cost,Declaration: Purchase cost (Class),Skip,subject 'Purchase cost' not in alignment table
AX17-pred,pred,-,-,-,(subject not in alignment table),-,-
AX18-gold,gold,Class,Declaration,Source code available,Declaration: Source code available (Class),Skip,subject 'Source code available' not in alignment table
AX18-pred,pred,-,-,-,(subject not in alignment table),-,-
AX19-gold,gold,Class,Declaration,XML,Declaration: XML (Class),Skip,subject 'XML' not in alignment table
AX19-pred,pred,-,-,-,(subject not in alignment table),-,-
AX20-gold,gold,Class,SubClassOf,XML,XML ⊑ data format specification,Skip,subject 'XML' not in alignment table
AX20-pred,pred,-,-,-,(subject not in alignment table),-,-
AX21-gold,gold,Class,Declaration,algorithm,Declaration: algorithm (Class),TP,matched pred AX3
AX21-pred,pred,Class,Declaration,Algorithm,Declaration: Algorithm (Class),-,-
AX22-gold,gold,Class,Declaration,application programming interface,Declaration: application programming interface (Class),Skip,subject 'application programming interface' not in alignment table
AX22-pred,pred,-,-,-,(subject not in alignment table),-,-
AX23-gold,gold,Class,SubClassOf,application programming interface,application programming interface ⊑ software interface,Skip,subject 'application programming interface' not in alignment table
AX23-pred,pred,-,-,-,(subject not in alignment table),-,-
AX24-gold,gold,Class,Declaration,data format specification,Declaration: data format specification (Class),TP,matched pred AX10
AX24-pred,pred,Class,Declaration,Data Format,Declaration: Data Format (Class),-,-
AX25-gold,gold,Class,Declaration,data item,Declaration: data item (Class),TP,matched pred AX9
AX25-pred,pred,Class,Declaration,Data,Declaration: Data (Class),-,-
AX26-gold,gold,Class,SubClassOf,data item,data item ⊑ ∃is encoded in.data format specification,FN,pred has no SubClassOf axiom on 'Data'
AX26-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX27-gold,gold,Class,Declaration,desktop graphical user interface,Declaration: desktop graphical user interface (Class),TP,matched pred AX11
AX27-pred,pred,Class,Declaration,Desktop Application,Declaration: Desktop Application (Class),-,-
AX28-gold,gold,Class,Declaration,file rendering,Declaration: file rendering (Class),TP,matched pred AX25
AX28-pred,pred,Class,Declaration,GIF Rendering,Declaration: GIF Rendering (Class),-,-
AX29-gold,gold,Class,Declaration,function,Declaration: function (Class),TP,matched pred AX14
AX29-pred,pred,Class,Declaration,Documentation,Declaration: Documentation (Class),-,-
AX30-gold,gold,Class,Declaration,licence,Declaration: licence (Class),TP,matched pred AX28
AX30-pred,pred,Class,Declaration,License,Declaration: License (Class),-,-
AX31-gold,gold,Class,Declaration,plain text file format,Declaration: plain text file format (Class),TP,matched pred AX39
AX31-pred,pred,Class,Declaration,TXT File Format,Declaration: TXT File Format (Class),-,-
AX32-gold,gold,Class,Declaration,programming language,Declaration: programming language (Class),TP,matched pred AX35
AX32-pred,pred,Class,Declaration,Programming Language,Declaration: Programming Language (Class),-,-
AX33-gold,gold,Class,Declaration,software,Declaration: software (Class),TP,matched pred AX38
AX33-pred,pred,Class,Declaration,Software Source,Declaration: Software Source (Class),-,-
AX34-gold,gold,Class,Declaration,software developer organization,Declaration: software developer organization (Class),Skip,subject 'software developer organization' not in alignment table
AX34-pred,pred,-,-,-,(subject not in alignment table),-,-
AX35-gold,gold,Class,Declaration,software developer role,Declaration: software developer role (Class),Skip,subject 'software developer role' not in alignment table
AX35-pred,pred,-,-,-,(subject not in alignment table),-,-
AX36-gold,gold,Class,Declaration,software interface,Declaration: software interface (Class),Skip,subject 'software interface' not in alignment table
AX36-pred,pred,-,-,-,(subject not in alignment table),-,-
AX37-gold,gold,Class,Declaration,text editing,Declaration: text editing (Class),TP,matched pred AX48
AX37-pred,pred,Class,Declaration,XML Editing,Declaration: XML Editing (Class),-,-
AX38-gold,gold,Class,Declaration,version number,Declaration: version number (Class),TP,matched pred AX47
AX38-pred,pred,Class,Declaration,Version,Declaration: Version (Class),-,-
AX39-gold,gold,Class,Declaration,web service,Declaration: web service (Class),Skip,subject 'web service' not in alignment table
AX39-pred,pred,-,-,-,(subject not in alignment table),-,-
AX40-gold,gold,Class,SubClassOf,web service,web service ⊑ software interface,Skip,subject 'web service' not in alignment table
AX40-pred,pred,-,-,-,(subject not in alignment table),-,-
AX41-gold,gold,ObjectProperty,Declaration,has clause,Declaration: has clause (ObjectProperty),Skip,subject 'has clause' not in alignment table
AX41-pred,pred,-,-,-,(subject not in alignment table),-,-
AX42-gold,gold,ObjectProperty,Declaration,has declared status,Declaration: has declared status (ObjectProperty),Skip,subject 'has declared status' not in alignment table
AX42-pred,pred,-,-,-,(subject not in alignment table),-,-
AX43-gold,gold,ObjectProperty,Range,has declared status,⊤ ⊑ ∀has declared status.Development status,Skip,subject 'has declared status' not in alignment table
AX43-pred,pred,-,-,-,(subject not in alignment table),-,-
AX44-gold,gold,ObjectProperty,Declaration,has format specification,Declaration: has format specification (ObjectProperty),TP,matched pred AX80
AX44-pred,pred,ObjectProperty,Declaration,has modification,Declaration: has modification (ObjectProperty),-,-
AX45-gold,gold,ObjectProperty,Domain,has format specification,∃has format specification.⊤ ⊑ data item,Mismatch,pred AX81 differs: class 'data item' not aligned to 'Algorithm'
AX45-pred,pred,ObjectProperty,Domain,has modification,∃has modification.⊤ ⊑ Algorithm,-,-
AX46-gold,gold,ObjectProperty,Range,has format specification,⊤ ⊑ ∀has format specification.data format specification,Mismatch,pred AX82 differs: class 'data format specification' not aligned to 'Modification'
AX46-pred,pred,ObjectProperty,Range,has modification,⊤ ⊑ ∀has modification.Modification,-,-
AX47-gold,gold,ObjectProperty,SubPropertyOf,has format specification,has format specification ⊑ is encoded in,FN,pred has no SubPropertyOf axiom on 'has modification'
AX47-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX48-gold,gold,ObjectProperty,Declaration,has function,Declaration: has function (ObjectProperty),TP,matched pred AX65
AX48-pred,pred,ObjectProperty,Declaration,has documentation,Declaration: has documentation (ObjectProperty),-,-
AX49-gold,gold,ObjectProperty,Range,has function,⊤ ⊑ ∀has function.function,TP,matched pred AX67
AX49-pred,pred,ObjectProperty,Range,has documentation,⊤ ⊑ ∀has documentation.Documentation,-,-
