Gold_term,Pre_term,Method,Score
has fabrication number,has fabrication number,hard_match,1.0
has firmware version,has firmware version,hard_match,1.0
has hardware version,has hardware version number,top3_avg(jaro_winkler+semantic+sequence_match),0.893
has manufacturer,has manufacturer,hard_match,1.0
has model,has model,hard_match,1.0
has start timestamp,has start date,top3_avg(jaro_winkler+semantic+sequence_match),0.7789
has version,has version,hard_match,1.0
has billing period,has billing period,hard_match,1.0
has duration,has location,top3_avg(jaro_winkler+levenshtein+sequence_match),0.7758
has period,has tariff period,top3_avg(jaro_winkler+semantic+sequence_match),0.7762
has property,has physical property,top3_avg(jaro_winkler+semantic+sequence_match),0.7886
makes measurement,provides measurement,top3_avg(jaro_winkler+semantic+sequence_match),0.8232
measurement made by,measures,top3_avg(jaro_winkler+semantic+sequence_match),0.745
