Gold_term,Pre_term,Method,Score
Action,Condition,top3_avg(jaro_winkler+semantic+sequence_match),0.6321985224146901
Asset,Asset,hard_match,1.0
ConflictTerm,Conflict Resolution Strategy,top3_avg(jaro_winkler+semantic+sequence_match),0.6643540364752244
Constraint,Constraint,hard_match,1.0
Duty,Duty,hard_match,1.0
LogicalConstraint,Logical Constraint,hard_match,1.0
Operator,Logical Operator,top3_avg(jaro_winkler+semantic+sequence_match),0.7084945216079074
Party,Party,hard_match,1.0
Permission,Permission,hard_match,1.0
Policy,Policy,hard_match,1.0
Prohibition,Prohibition,hard_match,1.0
Rule,Rule,hard_match,1.0
