Gold_term,Pre_term,Method,Score
Bordeaux,Bordeaux,hard_match,1.0
RedWine,Red Wine,hard_match,1.0
Vintage,Vintage Assessment,top3_avg(jaro_winkler+semantic+sequence_match),0.7592958453433966
VintageYear,Vintage Characteristic,top3_avg(jaro_winkler+semantic+sequence_match),0.7506154434746306
WhiteWine,White Wine,hard_match,1.0
WineBody,Body,top3_avg(levenshtein+semantic+sequence_match),0.6559632354312472
WineGrape,Grape Variety,top3_avg(jaro_winkler+semantic+sequence_match),0.6290454583823997
WineTaste,Wine Characteristic,top3_avg(jaro_winkler+semantic+sequence_match),0.7136719334272691
Zinfandel,Napa Zinfandel,top3_avg(jaro_winkler+semantic+sequence_match),0.8123313760207868
wine,Wine,hard_match,1.0
