prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has property,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8612; levenshtein=0.5789; semantic=0.7714; sequence_match=0.7333,False,0.7886,True,selected
ObjectProperty,measurement made by,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8574; levenshtein=0.4118; semantic=0.8178; sequence_match=0.5600,False,0.745,True,selected
ObjectProperty,has property,has chemical property,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8593; levenshtein=0.5789; semantic=0.6113; sequence_match=0.7333,False,0.7347,False,gold already mapped to 'has physical property'
ObjectProperty,has measurement,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.8723; sequence_match=0.6364,False,0.733,False,pred already taken by 'measurement made by'
ObjectProperty,makes measurement,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7375; levenshtein=0.4375; semantic=0.8766; sequence_match=0.5833,False,0.7325,False,pred already taken by 'measurement made by'
ObjectProperty,hasGeometry,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8162; levenshtein=0.4545; semantic=0.6151; sequence_match=0.6000,False,0.6771,False,top-3 avg score 0.6771 < final_threshold 0.7
ObjectProperty,has measurement,has asset,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8208; levenshtein=0.5000; semantic=0.5502; sequence_match=0.6364,False,0.6691,False,top-3 avg score 0.6691 < final_threshold 0.7
ObjectProperty,has property,has asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6932; levenshtein=0.4545; semantic=0.7765; sequence_match=0.5263,False,0.6653,False,top-3 avg score 0.6653 < final_threshold 0.7
ObjectProperty,is measured by device,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.3889; semantic=0.7826; sequence_match=0.5385,False,0.6564,False,top-3 avg score 0.6564 < final_threshold 0.7
ObjectProperty,has period,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8056; levenshtein=0.5556; semantic=0.6039; sequence_match=0.5556,False,0.655,False,top-3 avg score 0.6550 < final_threshold 0.7
ObjectProperty,has key performance indicator,has water indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6864; levenshtein=0.5385; semantic=0.5926; sequence_match=0.6512,False,0.6434,False,top-3 avg score 0.6434 < final_threshold 0.7
ObjectProperty,has duration,has actuator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7970; levenshtein=0.4545; semantic=0.4872; sequence_match=0.6364,False,0.6402,False,top-3 avg score 0.6402 < final_threshold 0.7
ObjectProperty,has duration,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6987; levenshtein=0.3889; semantic=0.6119; sequence_match=0.5517,False,0.6208,False,top-3 avg score 0.6208 < final_threshold 0.7
ObjectProperty,has measurement,has sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6429; levenshtein=0.4286; semantic=0.6521; sequence_match=0.5217,False,0.6056,False,top-3 avg score 0.6056 < final_threshold 0.7
ObjectProperty,has period,has water indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8109; levenshtein=0.4118; semantic=0.4464; sequence_match=0.5385,False,0.5986,False,top-3 avg score 0.5986 < final_threshold 0.7
ObjectProperty,hasGeometry,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6932; levenshtein=0.4545; semantic=0.5693; sequence_match=0.5263,False,0.5963,False,top-3 avg score 0.5963 < final_threshold 0.7
ObjectProperty,has duration,has water indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8127; levenshtein=0.3529; semantic=0.4610; sequence_match=0.5000,False,0.5912,False,top-3 avg score 0.5912 < final_threshold 0.7
ObjectProperty,hasGeometry,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6899; levenshtein=0.3684; semantic=0.5381; sequence_match=0.5333,False,0.5871,False,top-3 avg score 0.5871 < final_threshold 0.7
ObjectProperty,feature is measured by device,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6483; levenshtein=0.2800; semantic=0.6792; sequence_match=0.4242,False,0.5839,False,top-3 avg score 0.5839 < final_threshold 0.7
ObjectProperty,has duration,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6932; levenshtein=0.3636; semantic=0.5290; sequence_match=0.5263,False,0.5828,False,top-3 avg score 0.5828 < final_threshold 0.7
ObjectProperty,has property,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6818; levenshtein=0.3636; semantic=0.6243; sequence_match=0.4000,False,0.5687,False,top-3 avg score 0.5687 < final_threshold 0.7
ObjectProperty,has phenomenon time,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6618; levenshtein=0.3333; semantic=0.6391; sequence_match=0.4000,False,0.567,False,top-3 avg score 0.5670 < final_threshold 0.7
ObjectProperty,has measurement,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7956; levenshtein=0.3889; semantic=0.4617; sequence_match=0.4375,False,0.565,False,top-3 avg score 0.5650 < final_threshold 0.7
ObjectProperty,has period,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.5691; sequence_match=0.4706,False,0.5626,False,top-3 avg score 0.5626 < final_threshold 0.7
ObjectProperty,has period,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.6083; sequence_match=0.4444,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,has measurement,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6645; levenshtein=0.2857; semantic=0.5331; sequence_match=0.4800,False,0.5592,False,top-3 avg score 0.5592 < final_threshold 0.7
ObjectProperty,has period,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6678; levenshtein=0.3158; semantic=0.5721; sequence_match=0.4286,False,0.5561,False,top-3 avg score 0.5561 < final_threshold 0.7
ObjectProperty,has phenomenon time,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6732; levenshtein=0.3529; semantic=0.5320; sequence_match=0.4615,False,0.5556,False,top-3 avg score 0.5556 < final_threshold 0.7
ObjectProperty,hasGeometry,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6414; levenshtein=0.3636; semantic=0.5701; sequence_match=0.4545,False,0.5553,False,top-3 avg score 0.5553 < final_threshold 0.7
ObjectProperty,hasGeometry,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6987; levenshtein=0.3889; semantic=0.4743; sequence_match=0.4828,False,0.5519,False,top-3 avg score 0.5519 < final_threshold 0.7
ObjectProperty,hasGeometry,has physical property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5730; levenshtein=0.3158; semantic=0.6535; sequence_match=0.4000,False,0.5422,False,top-3 avg score 0.5422 < final_threshold 0.7
ObjectProperty,has measurement,has physical property,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6225; levenshtein=0.3684; semantic=0.6223; sequence_match=0.3636,False,0.5378,False,top-3 avg score 0.5378 < final_threshold 0.7
ObjectProperty,has property,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6406; levenshtein=0.3889; semantic=0.4725; sequence_match=0.4828,False,0.5319,False,top-3 avg score 0.5319 < final_threshold 0.7
ObjectProperty,has duration,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.5437; sequence_match=0.4211,False,0.5287,False,top-3 avg score 0.5287 < final_threshold 0.7
ObjectProperty,has period,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6866; levenshtein=0.3158; semantic=0.4686; sequence_match=0.4286,False,0.5279,False,top-3 avg score 0.5279 < final_threshold 0.7
ObjectProperty,has measurement,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6685; levenshtein=0.4211; semantic=0.4881; sequence_match=0.4242,False,0.5269,False,top-3 avg score 0.5269 < final_threshold 0.7
ObjectProperty,has billing period,has temporal setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6450; levenshtein=0.2778; semantic=0.5210; sequence_match=0.4118,False,0.5259,False,top-3 avg score 0.5259 < final_threshold 0.7
ObjectProperty,has key performance indicator,has temporal setting,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6382; levenshtein=0.3846; semantic=0.4251; sequence_match=0.5000,False,0.5211,False,top-3 avg score 0.5211 < final_threshold 0.7
ObjectProperty,has billing period,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6432; levenshtein=0.3125; semantic=0.5176; sequence_match=0.4000,False,0.5203,False,top-3 avg score 0.5203 < final_threshold 0.7
ObjectProperty,has duration,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.3636; semantic=0.5516; sequence_match=0.4000,False,0.5183,False,top-3 avg score 0.5183 < final_threshold 0.7
ObjectProperty,has phenomenon time,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5936; levenshtein=0.3158; semantic=0.5697; sequence_match=0.3889,False,0.5174,False,top-3 avg score 0.5174 < final_threshold 0.7
ObjectProperty,has measurement,has water indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6390; levenshtein=0.2941; semantic=0.5227; sequence_match=0.3871,False,0.5163,False,top-3 avg score 0.5163 < final_threshold 0.7
ObjectProperty,has property,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6414; levenshtein=0.2727; semantic=0.5374; sequence_match=0.3636,False,0.5142,False,top-3 avg score 0.5142 < final_threshold 0.7
ObjectProperty,has property,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.4948; sequence_match=0.4211,False,0.5123,False,top-3 avg score 0.5123 < final_threshold 0.7
ObjectProperty,has key performance indicator,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5400; levenshtein=0.3462; semantic=0.5093; sequence_match=0.4865,False,0.5119,False,top-3 avg score 0.5119 < final_threshold 0.7
ObjectProperty,has key performance indicator,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6347; levenshtein=0.2692; semantic=0.5549; sequence_match=0.3429,False,0.5108,False,top-3 avg score 0.5108 < final_threshold 0.7
ObjectProperty,has phenomenon time,has asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.4910; sequence_match=0.4000,False,0.5102,False,top-3 avg score 0.5102 < final_threshold 0.7
ObjectProperty,has period,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.3636; semantic=0.5233; sequence_match=0.4000,False,0.5087,False,top-3 avg score 0.5087 < final_threshold 0.7
ObjectProperty,has duration,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6206; levenshtein=0.2632; semantic=0.5640; sequence_match=0.3333,False,0.506,False,top-3 avg score 0.5060 < final_threshold 0.7
ObjectProperty,has phenomenon time,has chemical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6208; levenshtein=0.3158; semantic=0.4473; sequence_match=0.4444,False,0.5042,False,top-3 avg score 0.5042 < final_threshold 0.7
ObjectProperty,has billing period,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5676; levenshtein=0.3684; semantic=0.4785; sequence_match=0.4571,False,0.5011,False,top-3 avg score 0.5011 < final_threshold 0.7
ObjectProperty,has key performance indicator,has physical property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6511; levenshtein=0.2308; semantic=0.4880; sequence_match=0.3556,False,0.4982,False,top-3 avg score 0.4982 < final_threshold 0.7
ObjectProperty,makes measurement,has sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5560; levenshtein=0.3125; semantic=0.6186; sequence_match=0.3200,False,0.4982,False,top-3 avg score 0.4982 < final_threshold 0.7
ObjectProperty,applies to,has actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6027; levenshtein=0.2727; semantic=0.4912; sequence_match=0.4000,False,0.498,False,top-3 avg score 0.4980 < final_threshold 0.7
ObjectProperty,applies to,has sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5463; levenshtein=0.1111; semantic=0.4975; sequence_match=0.4444,False,0.4961,False,top-3 avg score 0.4961 < final_threshold 0.7
ObjectProperty,hasGeometry,has water indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5772; levenshtein=0.2941; semantic=0.4664; sequence_match=0.4286,False,0.4907,False,top-3 avg score 0.4907 < final_threshold 0.7
ObjectProperty,has billing period,has water indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6377; levenshtein=0.3529; semantic=0.3918; sequence_match=0.4242,False,0.4846,False,top-3 avg score 0.4846 < final_threshold 0.7
ObjectProperty,has billing period,has chemical property,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6047; levenshtein=0.3684; semantic=0.3812; sequence_match=0.4571,False,0.481,False,top-3 avg score 0.4810 < final_threshold 0.7
