gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
RedWine,Red Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Region,Region,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WhiteWine,White Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
wine,Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WineTaste,Wine Vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8828; levenshtein=0.5455; semantic=0.8151; sequence_match=0.7000,False,0.7993,True,selected
WineGrape,Grape Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6111; levenshtein=0.1667; semantic=0.7998; sequence_match=0.4762,False,0.629,True,selected
WineBody,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.8164; sequence_match=0.6667,False,0.7943,False,pred already taken by 'wine' (higher averaged score)
WineGrape,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8744; sequence_match=0.6154,False,0.7929,False,pred already taken by 'wine' (higher averaged score)
WineTaste,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8459; sequence_match=0.6154,False,0.7834,False,gold already mapped to 'Wine Vintage'
Vintage,Wine Vintage,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7359; levenshtein=0.6364; semantic=0.8305; sequence_match=0.7778,False,0.7814,False,pred already taken by 'WineTaste' (higher averaged score)
WineSugar,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7925; sequence_match=0.6154,False,0.7656,False,pred already taken by 'wine' (higher averaged score)
WineColor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7918; sequence_match=0.6154,False,0.7654,False,pred already taken by 'wine' (higher averaged score)
wine,Wine Vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8727; levenshtein=0.3636; semantic=0.8750; sequence_match=0.5333,False,0.7603,False,gold already mapped to 'Wine'
WineGrape,Wine Vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8424; levenshtein=0.5455; semantic=0.8287; sequence_match=0.6000,False,0.7571,False,pred already taken by 'WineTaste' (higher averaged score)
WineFlavor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7979; sequence_match=0.5714,False,0.7498,False,pred already taken by 'wine' (higher averaged score)
