side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,AssetCollection,Asset,FN,,
gold,class,Duty,Rule,TP,,
gold,class,Permission,Rule,TP,,
gold,class,Prohibition,Rule,TP,,
pred,class,,,untranslated,Aggregation,Permission
pred,class,,,untranslated,Aggregation,Rule
pred,class,,,untranslated,Aggregation,TransferRight
pred,class,,,untranslated,Disaggregation,Permission
pred,class,,,untranslated,Disaggregation,Rule
pred,class,,,untranslated,Disaggregation,TransferRight
pred,class,,,untranslated,TransferRight,Permission
pred,class,,,untranslated,TransferRight,Rule
gold,property,and,operand,FN,,
gold,property,andSequence,operand,FN,,
gold,property,assignee,function,FN,,
gold,property,assigner,function,FN,,
gold,property,consequence,failure,FN,,
gold,property,or,operand,FN,,
gold,property,remedy,failure,FN,,
gold,property,target,relation,FN,,
gold,property,xone,operand,FN,,
