prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has license,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has version,has version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,implements,implemented in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9185; levenshtein=0.6923; semantic=0.8329; sequence_match=0.7826,False,0.8446,True,selected
ObjectProperty,is developed by,is developer of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9077; levenshtein=0.7692; semantic=0.8501; sequence_match=0.7692,False,0.8423,True,selected
ObjectProperty,has output,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.8329; sequence_match=0.7500,False,0.8343,True,selected
ObjectProperty,is software for,is software type of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9179; levenshtein=0.6875; semantic=0.8222; sequence_match=0.7586,False,0.8329,True,selected
ObjectProperty,has input,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.7945; sequence_match=0.7273,False,0.812,True,selected
ObjectProperty,uses platform,runs on platform,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7492; levenshtein=0.7143; semantic=0.8535; sequence_match=0.7692,False,0.7906,True,selected
ObjectProperty,uses software,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7833; levenshtein=0.5333; semantic=0.7271; sequence_match=0.6667,False,0.7257,True,selected
ObjectProperty,has version,is version of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8424; levenshtein=0.6364; semantic=0.7646; sequence_match=0.7619,False,0.7896,False,gold already mapped to 'has version'
ObjectProperty,has license,is license of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8008; levenshtein=0.6364; semantic=0.7881; sequence_match=0.7619,False,0.7836,False,gold already mapped to 'has license'
ObjectProperty,uses platform,is platform for,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8141; levenshtein=0.5385; semantic=0.8137; sequence_match=0.7200,False,0.7826,False,gold already mapped to 'runs on platform'
ObjectProperty,is developed by,has developer,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8141; levenshtein=0.6154; semantic=0.7699; sequence_match=0.7200,False,0.768,False,gold already mapped to 'is developer of'
