gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Actuator,Actuator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ChemicalProperty,Chemical Property,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Measurement,Measurement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Sensor,Sensor,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Tariff,Tariff,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water,Water,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water meter,Water Meter,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water infrastructure,Water Distribution Infrastructure,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8699; levenshtein=0.6129; semantic=0.9136; sequence_match=0.7600,False,0.8479,True,selected
Temporal entity,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9437; levenshtein=0.7333; semantic=0.7760; sequence_match=0.7586,False,0.8261,True,selected
Water asset,Water Quality Sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8911; levenshtein=0.4444; semantic=0.6742; sequence_match=0.5714,False,0.7122,True,selected
Water property,Physical Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6775; levenshtein=0.5000; semantic=0.6818; sequence_match=0.6207,False,0.66,True,selected
Point,Boiling Point,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6167; levenshtein=0.4167; semantic=0.7109; sequence_match=0.5882,False,0.6386,True,selected
Key Performance Indicator,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6263; levenshtein=0.4783; semantic=0.5980; sequence_match=0.5946,False,0.6063,True,selected
Actuator,Pump Actuator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8056; levenshtein=0.6667; semantic=0.8842; sequence_match=0.8000,False,0.8299,False,gold already mapped to 'Actuator'
ChemicalProperty,Physical Property,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8494; levenshtein=0.8125; semantic=0.7273; sequence_match=0.8125,False,0.8248,False,gold already mapped to 'Chemical Property'
Actuator,Valve Actuator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7885; levenshtein=0.6154; semantic=0.8920; sequence_match=0.7619,False,0.8141,False,gold already mapped to 'Actuator'
Sensor,Flow Sensor,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7556; levenshtein=0.6000; semantic=0.8577; sequence_match=0.7500,False,0.7877,False,gold already mapped to 'Sensor'
Water asset,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7825; sequence_match=0.6667,False,0.783,False,pred already taken by 'Water' (higher averaged score)
Tariff,Tariff Period,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7550; sequence_match=0.6667,False,0.7739,False,gold already mapped to 'Tariff'
Temporal duration,Temporal Setting,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8842; levenshtein=0.6250; semantic=0.7138; sequence_match=0.7097,False,0.7692,False,pred already taken by 'Temporal entity' (higher averaged score)
Water,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7251; sequence_match=0.6667,False,0.7639,False,gold already mapped to 'Water'
Water meter,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7251; sequence_match=0.6667,False,0.7639,False,gold already mapped to 'Water Meter'
Water asset,Water Meter,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8800; levenshtein=0.6000; semantic=0.6763; sequence_match=0.7000,False,0.7521,False,pred already taken by 'Water meter' (higher averaged score)
Water property,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8769; levenshtein=0.3846; semantic=0.7434; sequence_match=0.5556,False,0.7253,False,pred already taken by 'Water' (higher averaged score)
Water meter,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8400; levenshtein=0.5000; semantic=0.7187; sequence_match=0.5833,False,0.714,False,gold already mapped to 'Water Meter'
Water,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8714; levenshtein=0.3571; semantic=0.7301; sequence_match=0.5263,False,0.7093,False,gold already mapped to 'Water'
Water property,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8581; levenshtein=0.5385; semantic=0.6433; sequence_match=0.6087,False,0.7033,False,pred already taken by 'Water meter' (higher averaged score)
Water asset,Asset,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6500; levenshtein=0.5000; semantic=0.7889; sequence_match=0.6667,False,0.7019,False,gold already mapped to 'Water Quality Sensor'
Water asset,Water Indicator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8400; levenshtein=0.4286; semantic=0.6505; sequence_match=0.5833,False,0.6913,False,gold already mapped to 'Water Quality Sensor'
Meter,Water Meter,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5667; levenshtein=0.5000; semantic=0.8181; sequence_match=0.6667,False,0.6838,False,pred already taken by 'Water meter' (higher averaged score)
Water meter,Water Quality Sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8239; levenshtein=0.4444; semantic=0.7176; sequence_match=0.5000,False,0.6805,False,gold already mapped to 'Water Meter'
Water infrastructure,Water,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8526; levenshtein=0.2632; semantic=0.7618; sequence_match=0.4167,False,0.677,False,gold already mapped to 'Water Distribution Infrastructure'
Water,Water Quality Sensor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8556; levenshtein=0.2778; semantic=0.6960; sequence_match=0.4348,False,0.6621,False,gold already mapped to 'Water'
