Gold_term,Pre_term,Method,Score
Actuator,Actuator,hard_match,1.0
ChemicalProperty,Chemical Property,hard_match,1.0
Key Performance Indicator,Water Indicator,top3_avg(jaro_winkler+semantic+sequence_match),0.6063049156264281
Measurement,Measurement,hard_match,1.0
Point,Boiling Point,top3_avg(jaro_winkler+semantic+sequence_match),0.6385984312475118
Sensor,Sensor,hard_match,1.0
Tariff,Tariff,hard_match,1.0
Temporal entity,Temporal Setting,top3_avg(jaro_winkler+semantic+sequence_match),0.8260943932548521
Water,Water,hard_match,1.0
Water asset,Water Quality Sensor,top3_avg(jaro_winkler+semantic+sequence_match),0.7122426065313752
Water infrastructure,Water Distribution Infrastructure,top3_avg(jaro_winkler+semantic+sequence_match),0.8478553603662903
Water meter,Water Meter,hard_match,1.0
Water property,Physical Property,top3_avg(jaro_winkler+semantic+sequence_match),0.6600118127893393
