Gold_term,Pre_term,Method,Score
Action,Negation,top3_avg(jaro_winkler+levenshtein+sequence_match),0.677910052910053
Asset,Asset,hard_match,1.0
ConflictTerm,Conflict Resolution Strategy,top3_avg(jaro_winkler+semantic+sequence_match),0.6643540364752244
Constraint,Constraint,hard_match,1.0
Duty,Duty,hard_match,1.0
LogicalConstraint,Logical Constraint,hard_match,1.0
Party,Party Role Assignment,top3_avg(jaro_winkler+semantic+sequence_match),0.6480205224968537
Permission,Permission,hard_match,1.0
Policy,Policy,hard_match,1.0
Prohibition,Prohibition,hard_match,1.0
Rule,Rule,hard_match,1.0
