PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,release date,Release Date,releasedate,releasedate,DatatypeProperty,DatatypeProperty,tp,Game,Game,game,game,tp,xsd:dateTime,xsd:date,xsddatetime,xsddate,mismatch,NO,
DatatypeProperty,username,Username,username,username,DatatypeProperty,DatatypeProperty,tp,Player,Player,player,player,tp,xsd:string,xsd:string,xsdstring,xsdstring,tp,YES,
ObjectProperty,has achievement,Has Achievement,hasachievement,hasachievement,ObjectProperty,ObjectProperty,tp,Game,Player,game,player,mismatch,Achievement,Achievement,achievement,achievement,tp,NO,
ObjectProperty,has game genre,Has Genre,hasgamegenre,hasgenre,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,Genre,Genre,genre,genre,tp,YES,
ObjectProperty,has item,Has Item,hasitem,hasitem,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,Item,Item,item,item,tp,YES,
ObjectProperty,has playing area,Has Playing Area,hasplayingarea,hasplayingarea,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,playing area,Playing Area,playingarea,playingarea,tp,YES,
ObjectProperty,involves player,Pivot Has Player,involvesplayer,pivothasplayer,ObjectProperty,ObjectProperty,tp,Session,Player Game Achievement; Player Game IAP; Player Game Item,session,playergameachievement; playergameiap; playergameitem,mismatch,Player,Player,player,player,tp,NO,
ObjectProperty,lives in,Lives In,livesin,livesin,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,,Location,,location,fp,NO,
ObjectProperty,owns achievement,Pivot Has Achievement,ownsachievement,pivothasachievement,ObjectProperty,ObjectProperty,tp,Player,Player Game Achievement,player,playergameachievement,mismatch,Achievement,Achievement,achievement,achievement,tp,NO,
ObjectProperty,owns item,Owns Item,ownsitem,ownsitem,ObjectProperty,ObjectProperty,tp,Character,Player,character,player,mismatch,Item,Item,item,item,tp,NO,
ObjectProperty,plays game,Plays Game,playsgame,playsgame,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,Game,Game,game,game,tp,YES,
ObjectProperty,purchases game offering,Purchase Has Game,purchasesgameoffering,purchasehasgame,ObjectProperty,ObjectProperty,tp,in-app purchase event,In App Purchase,inapppurchaseevent,inapppurchase,tp,game product,Game,gameproduct,game,mismatch,NO,
