PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,has fabrication number,fabrication number,hasfabricationnumber,fabricationnumber,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:http://www.semanticweb.org/myontology#string,literal,string,mismatch,NO,
DatatypeProperty,has firmware version,firmware version,hasfirmwareversion,firmwareversion,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:http://www.semanticweb.org/myontology#string,literal,string,mismatch,NO,
DatatypeProperty,has hardware version,hardware version,hashardwareversion,hardwareversion,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:http://www.semanticweb.org/myontology#string,literal,string,mismatch,NO,
DatatypeProperty,has manufacturer,manufacturer,hasmanufacturer,manufacturer,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,,xsd:http://www.semanticweb.org/myontology#string,,string,fp,NO,
DatatypeProperty,has model,model,hasmodel,model,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,,xsd:http://www.semanticweb.org/myontology#string,,string,fp,NO,
DatatypeProperty,has version,version,hasversion,version,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:http://www.semanticweb.org/myontology#string,literal,string,mismatch,NO,
ObjectProperty,has billing period,has billing period,hasbillingperiod,hasbillingperiod,ObjectProperty,ObjectProperty,tp,Tariff,Water Meter,tariff,watermeter,mismatch,Temporal duration,Billing Period,temporalduration,billingperiod,mismatch,NO,
ObjectProperty,has period,has period,hasperiod,hasperiod,ObjectProperty,ObjectProperty,tp,Tariff,Tariff,tariff,tariff,tp,Temporal duration,Tariff Period,temporalduration,tariffperiod,mismatch,NO,
ObjectProperty,has property,has physical property,hasproperty,hasphysicalproperty,ObjectProperty,ObjectProperty,tp,,Water,,water,fp,,Physical Property,,physicalproperty,fp,NO,
ObjectProperty,makes measurement,provides measurement,makesmeasurement,providesmeasurement,ObjectProperty,ObjectProperty,tp,,Water Meter,,watermeter,fp,,Measurement,,measurement,fp,NO,
