prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has measurement,has measurement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has billing period,has billing event,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8842; levenshtein=0.6875; semantic=0.6772; sequence_match=0.7097,False,0.7604,True,selected
ObjectProperty,makes measurement,measures aspect,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7601; levenshtein=0.3750; semantic=0.7590; sequence_match=0.6000,False,0.7064,True,selected
ObjectProperty,measurement made by,measured aspect,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8502; levenshtein=0.4706; semantic=0.6867; sequence_match=0.5806,False,0.7058,True,selected
ObjectProperty,makes measurement,has measurement,semantic+sequence_match+levenshtein,jaro_winkler=0.7855; levenshtein=0.8125; semantic=0.9100; sequence_match=0.8667,False,0.8631,False,pred already taken by 'has measurement'
ObjectProperty,measurement made by,has measurement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6877; levenshtein=0.4706; semantic=0.8119; sequence_match=0.7097,False,0.7364,False,pred already taken by 'has measurement'
ObjectProperty,has measurement,measures aspect,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7359; levenshtein=0.4286; semantic=0.7770; sequence_match=0.6429,False,0.7186,False,gold already mapped to 'has measurement'
ObjectProperty,measurement made by,measures aspect,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8405; levenshtein=0.4706; semantic=0.6962; sequence_match=0.5806,False,0.7058,False,gold already mapped to 'measured aspect'
ObjectProperty,has measurement,measured aspect,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7359; levenshtein=0.4286; semantic=0.7367; sequence_match=0.6429,False,0.7052,False,gold already mapped to 'has measurement'
ObjectProperty,measurement made by,measured water property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8460; levenshtein=0.4762; semantic=0.7161; sequence_match=0.5263,False,0.6961,False,top-3 avg score 0.6961 < final_threshold 0.7
ObjectProperty,makes measurement,measured aspect,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7601; levenshtein=0.3750; semantic=0.7242; sequence_match=0.6000,False,0.6948,False,top-3 avg score 0.6948 < final_threshold 0.7
ObjectProperty,measurement made by,measures water property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8388; levenshtein=0.4762; semantic=0.6852; sequence_match=0.5263,False,0.6834,False,top-3 avg score 0.6834 < final_threshold 0.7
ObjectProperty,hasGeometry,has geolocation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8273; levenshtein=0.5000; semantic=0.6331; sequence_match=0.5600,False,0.6734,False,top-3 avg score 0.6734 < final_threshold 0.7
ObjectProperty,makes measurement,has water property measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6788; levenshtein=0.4815; semantic=0.7270; sequence_match=0.6047,False,0.6701,False,top-3 avg score 0.6701 < final_threshold 0.7
ObjectProperty,is measured by device,measured aspect,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6777; levenshtein=0.5556; semantic=0.7077; sequence_match=0.6250,False,0.6701,False,top-3 avg score 0.6701 < final_threshold 0.7
ObjectProperty,has measurement,has water property measurement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5949; levenshtein=0.5185; semantic=0.7325; sequence_match=0.6829,False,0.6701,False,top-3 avg score 0.6701 < final_threshold 0.7
ObjectProperty,is measured by device,has measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6402; levenshtein=0.4444; semantic=0.7895; sequence_match=0.5625,False,0.6641,False,top-3 avg score 0.6641 < final_threshold 0.7
ObjectProperty,has property,has sensor type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8339; levenshtein=0.4615; semantic=0.5581; sequence_match=0.5833,False,0.6585,False,top-3 avg score 0.6585 < final_threshold 0.7
ObjectProperty,has duration,has indicator,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8003; levenshtein=0.5000; semantic=0.5626; sequence_match=0.6087,False,0.6572,False,top-3 avg score 0.6572 < final_threshold 0.7
ObjectProperty,has property,has water property measurement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7981; levenshtein=0.4074; semantic=0.5871; sequence_match=0.5789,False,0.6547,False,top-3 avg score 0.6547 < final_threshold 0.7
ObjectProperty,has key performance indicator,has indicator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5876; levenshtein=0.4615; semantic=0.7141; sequence_match=0.6316,False,0.6444,False,top-3 avg score 0.6444 < final_threshold 0.7
ObjectProperty,hasGeometry,has sensor type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8599; levenshtein=0.3846; semantic=0.5551; sequence_match=0.5000,False,0.6383,False,top-3 avg score 0.6383 < final_threshold 0.7
