PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,has documentation,has Documentation URL,hasdocumentation,hasdocumentationurl,DatatypeProperty,DatatypeProperty,tp,,Software,,software,fp,xsd:string,xsd:anyuri,xsdstring,xsdanyuri,mismatch,NO,
DatatypeProperty,has download location,has Download URL,hasdownloadlocation,hasdownloadurl,DatatypeProperty,DatatypeProperty,tp,,Software,,software,fp,xsd:string,xsd:anyuri,xsdstring,xsdanyuri,mismatch,NO,
DatatypeProperty,has release date,version Release Date,hasreleasedate,versionreleasedate,DatatypeProperty,DatatypeProperty,tp,,Version,,version,fp,xsd:string,xsd:date,xsdstring,xsddate,mismatch,NO,
DatatypeProperty,has support URL,has Support URL,hassupporturl,hassupporturl,DatatypeProperty,DatatypeProperty,tp,,Software,,software,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:anyuri,literal,xsdanyuri,mismatch,NO,
DatatypeProperty,has website homepage,has Homepage,haswebsitehomepage,hashomepage,DatatypeProperty,DatatypeProperty,tp,,Software,,software,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:anyuri,literal,xsdanyuri,mismatch,NO,
ObjectProperty,has input,has Input Format,hasinput,hasinputformat,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,,Data Format,,dataformat,fp,NO,
ObjectProperty,has license,has License,haslicense,haslicense,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,,License,,license,fp,NO,
ObjectProperty,has output,has Output Format,hasoutput,hasoutputformat,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,,Data Format,,dataformat,fp,NO,
ObjectProperty,has version,has Version,hasversion,hasversion,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,version number,Version,versionnumber,version,tp,NO,
ObjectProperty,is developed by,developed By,isdevelopedby,developedby,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,,Developer,,developer,fp,NO,
ObjectProperty,uses platform,supported Platform,usesplatform,supportedplatform,ObjectProperty,ObjectProperty,tp,,Software,,software,fp,,Platform,,platform,fp,NO,
