gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Actuator,Actuator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ChemicalProperty,Chemical Property,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Sensor,Sensor,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Tariff,Tariff,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water meter,Water Meter,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water property,Water Property,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Water infrastructure,Water Infrastructure Asset,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9583; levenshtein=0.7917; semantic=0.8482; sequence_match=0.8837,False,0.8967,True,selected
Acceptability property,Physical Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6567; levenshtein=0.4762; semantic=0.6930; sequence_match=0.5405,False,0.6301,True,selected
ChemicalProperty,Physical Property,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8494; levenshtein=0.8125; semantic=0.7273; sequence_match=0.8125,False,0.8248,False,gold already mapped to 'Chemical Property'
Water asset,Water Infrastructure Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8328; levenshtein=0.4167; semantic=0.9327; sequence_match=0.5882,False,0.7846,False,pred already taken by 'Water infrastructure' (higher averaged score)
Water asset,Water Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8477; levenshtein=0.5385; semantic=0.8613; sequence_match=0.6087,False,0.7726,False,pred already taken by 'Water property' (higher averaged score)
Water,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7251; sequence_match=0.6667,False,0.7639,False,pred already taken by 'Water meter' (higher averaged score)
Water asset,Water Meter,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8800; levenshtein=0.6000; semantic=0.6763; sequence_match=0.7000,False,0.7521,False,pred already taken by 'Water meter' (higher averaged score)
Water,Water Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8769; levenshtein=0.3846; semantic=0.7434; sequence_match=0.5556,False,0.7253,False,pred already taken by 'Water property' (higher averaged score)
Water meter,Water Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8581; levenshtein=0.5385; semantic=0.6433; sequence_match=0.6087,False,0.7033,False,gold already mapped to 'Water Meter'
Water property,Water Meter,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8581; levenshtein=0.5385; semantic=0.6433; sequence_match=0.6087,False,0.7033,False,gold already mapped to 'Water Property'
Meter,Water Meter,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5667; levenshtein=0.5000; semantic=0.8181; sequence_match=0.6667,False,0.6838,False,pred already taken by 'Water meter' (higher averaged score)
Water property,Physical Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6775; levenshtein=0.5000; semantic=0.6818; sequence_match=0.6207,False,0.66,False,gold already mapped to 'Water Property'
ChemicalProperty,Water Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6647; levenshtein=0.5000; semantic=0.6233; sequence_match=0.6207,False,0.6362,False,gold already mapped to 'Chemical Property'
Water property,Chemical Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6647; levenshtein=0.5000; semantic=0.6233; sequence_match=0.6207,False,0.6362,False,gold already mapped to 'Water Property'
Acceptability property,Water Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6688; levenshtein=0.4286; semantic=0.6366; sequence_match=0.5882,False,0.6312,False,pred already taken by 'Water property' (higher averaged score)
Acceptability property,Chemical Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7044; levenshtein=0.5238; semantic=0.6355; sequence_match=0.5405,False,0.6268,False,gold already mapped to 'Physical Property'
Water property,Water Infrastructure Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6521; levenshtein=0.3333; semantic=0.7954; sequence_match=0.4324,False,0.6266,False,gold already mapped to 'Water Property'
Water,Water Infrastructure Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8417; levenshtein=0.2083; semantic=0.6694; sequence_match=0.3448,False,0.6186,False,pred already taken by 'Water infrastructure' (higher averaged score)
Time-based tariff,Tariff,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4556; levenshtein=0.4000; semantic=0.7982; sequence_match=0.5714,False,0.6084,False,pred already taken by 'Tariff' (higher averaged score)
Water infrastructure,Water Property,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6371; levenshtein=0.4211; semantic=0.7418; sequence_match=0.4375,False,0.6055,False,gold already mapped to 'Water Infrastructure Asset'
Water infrastructure,Water Meter,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6419; levenshtein=0.3684; semantic=0.6947; sequence_match=0.4138,False,0.5834,False,top-3 avg score 0.5834 < final_threshold 0.6
Temporal entity,Water Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6673; levenshtein=0.3571; semantic=0.5404; sequence_match=0.5185,False,0.5754,False,top-3 avg score 0.5754 < final_threshold 0.6
Water meter,Water Infrastructure Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6694; levenshtein=0.2917; semantic=0.6258; sequence_match=0.4118,False,0.569,False,top-3 avg score 0.5690 < final_threshold 0.6
Water,Actuator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6583; levenshtein=0.3750; semantic=0.5733; sequence_match=0.4615,False,0.5644,False,top-3 avg score 0.5644 < final_threshold 0.6
Temporal entity,Chemical Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7032; levenshtein=0.3125; semantic=0.4964; sequence_match=0.4667,False,0.5554,False,top-3 avg score 0.5554 < final_threshold 0.6
