Gold_term,Pre_term,Method,Score
release date,release date,hard_match,1.0
username,username,hard_match,1.0
has achievement,has achievement,hard_match,1.0
has game genre,has genre,top3_avg(jaro_winkler+semantic+sequence_match),0.8484
has item,has item,hard_match,1.0
has playing area,has playing area,hard_match,1.0
involves player,involves game,top3_avg(jaro_winkler+levenshtein+sequence_match),0.7977
is achievement in game,game has achievement,top3_avg(jaro_winkler+semantic+sequence_match),0.7489
is friend with player,is friend of,top3_avg(jaro_winkler+semantic+sequence_match),0.7222
lives in,lives in,hard_match,1.0
owns item,has owned item,top3_avg(jaro_winkler+semantic+sequence_match),0.7689
