gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Vintage,Vintage,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
wine,Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Bordeaux,Bordeaux Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8442; sequence_match=0.8000,False,0.8592,True,selected
Zinfandel,Napa Zinfandel,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7863; levenshtein=0.6923; semantic=0.8325; sequence_match=0.8182,False,0.8123,True,selected
Region,Wine Region,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7000; levenshtein=0.6000; semantic=0.8215; sequence_match=0.7500,False,0.7572,True,selected
WineGrape,Grape,semantic+sequence_match+levenshtein,jaro_winkler=0.4370; levenshtein=0.5556; semantic=0.8778; sequence_match=0.7143,False,0.7159,True,selected
VintageYear,Vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9273; levenshtein=0.6364; semantic=0.8946; sequence_match=0.7778,False,0.8665,False,pred already taken by 'Vintage' (higher averaged score)
WineBody,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.8164; sequence_match=0.6667,False,0.7943,False,pred already taken by 'wine' (higher averaged score)
WineGrape,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8744; sequence_match=0.6154,False,0.7929,False,pred already taken by 'wine' (higher averaged score)
WineTaste,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8459; sequence_match=0.6154,False,0.7834,False,pred already taken by 'wine' (higher averaged score)
WineSugar,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7925; sequence_match=0.6154,False,0.7656,False,pred already taken by 'wine' (higher averaged score)
WineColor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7918; sequence_match=0.6154,False,0.7654,False,pred already taken by 'wine' (higher averaged score)
WineFlavor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7979; sequence_match=0.5714,False,0.7498,False,pred already taken by 'wine' (higher averaged score)
RedWine,Bordeaux Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8135; levenshtein=0.5000; semantic=0.7914; sequence_match=0.6316,False,0.7455,False,pred already taken by 'Bordeaux' (higher averaged score)
wine,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7772; sequence_match=0.5714,False,0.7429,False,gold already mapped to 'Wine'
RedBordeaux,Bordeaux Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7079; levenshtein=0.4167; semantic=0.7635; sequence_match=0.6957,False,0.7223,False,pred already taken by 'Bordeaux' (higher averaged score)
RedWine,Wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,pred already taken by 'wine' (higher averaged score)
WineGrape,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8670; levenshtein=0.4000; semantic=0.7423; sequence_match=0.5263,False,0.7119,False,gold already mapped to 'Grape'
WhiteWine,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,pred already taken by 'wine' (higher averaged score)
WineBody,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8250; levenshtein=0.4000; semantic=0.6699; sequence_match=0.5556,False,0.6835,False,pred already taken by 'Region' (higher averaged score)
