prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,has achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,plays game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has game genre,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.6667; semantic=0.8370; sequence_match=0.8000,False,0.8484,True,selected
ObjectProperty,has item,game has item,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7359; levenshtein=0.6364; semantic=0.8320; sequence_match=0.7778,False,0.7819,True,selected
ObjectProperty,is achievement in game,game has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7192; levenshtein=0.3684; semantic=0.8788; sequence_match=0.6486,False,0.7489,True,selected
ObjectProperty,owns achievement,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8579; levenshtein=0.8000; semantic=0.8760; sequence_match=0.8276,False,0.8538,False,pred already taken by 'has achievement'
ObjectProperty,has achievement,game has achievement,sequence_match+semantic+jaro_winkler,jaro_winkler=0.8069; levenshtein=0.7778; semantic=0.8383; sequence_match=0.8750,False,0.8401,False,gold already mapped to 'has achievement'
ObjectProperty,is achievement in game,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7740; levenshtein=0.5789; semantic=0.7680; sequence_match=0.7273,False,0.7564,False,pred already taken by 'has achievement'
ObjectProperty,owns achievement,game has achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6833; levenshtein=0.6667; semantic=0.7882; sequence_match=0.7273,False,0.7329,False,pred already taken by 'is achievement in game'
ObjectProperty,has achievement,achievement has type,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6746; levenshtein=0.4444; semantic=0.7537; sequence_match=0.6875,False,0.7053,False,gold already mapped to 'has achievement'
ObjectProperty,has feature,has genre,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8483; levenshtein=0.6000; semantic=0.5514; sequence_match=0.6667,False,0.705,False,pred already taken by 'has game genre'
ObjectProperty,has item,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,is achievement in game,achievement has type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7509; levenshtein=0.5789; semantic=0.5825; sequence_match=0.7027,False,0.6787,False,top-3 avg score 0.6787 < final_threshold 0.7
ObjectProperty,has item,player has item,semantic+sequence_match+levenshtein,jaro_winkler=0.4799; levenshtein=0.5385; semantic=0.7951; sequence_match=0.7000,False,0.6778,False,top-3 avg score 0.6778 < final_threshold 0.7
ObjectProperty,has item,has friend,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.5748; sequence_match=0.6250,False,0.6765,False,top-3 avg score 0.6765 < final_threshold 0.7
ObjectProperty,owns achievement,achievement has type,sequence_match+semantic+jaro_winkler,jaro_winkler=0.6300; levenshtein=0.3889; semantic=0.6636; sequence_match=0.6667,False,0.6534,False,top-3 avg score 0.6534 < final_threshold 0.7
ObjectProperty,has game genre,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.3333; semantic=0.6653; sequence_match=0.5714,False,0.653,False,top-3 avg score 0.6530 < final_threshold 0.7
ObjectProperty,has playing area,game has area,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6829; levenshtein=0.4286; semantic=0.7138; sequence_match=0.5600,False,0.6522,False,top-3 avg score 0.6522 < final_threshold 0.7
ObjectProperty,plays game,player has item,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8759; levenshtein=0.4615; semantic=0.5258; sequence_match=0.5455,False,0.649,False,top-3 avg score 0.6490 < final_threshold 0.7
ObjectProperty,has playing area,plays game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6951; levenshtein=0.5000; semantic=0.6305; sequence_match=0.6087,False,0.6448,False,top-3 avg score 0.6448 < final_threshold 0.7
ObjectProperty,has feature,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.4000; semantic=0.5878; sequence_match=0.5263,False,0.6447,False,top-3 avg score 0.6447 < final_threshold 0.7
ObjectProperty,has game genre,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8065; levenshtein=0.3571; semantic=0.5386; sequence_match=0.5385,False,0.6279,False,top-3 avg score 0.6279 < final_threshold 0.7
ObjectProperty,has game genre,game has area,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7079; levenshtein=0.3333; semantic=0.6435; sequence_match=0.5217,False,0.6244,False,top-3 avg score 0.6244 < final_threshold 0.7
ObjectProperty,is friend with player,has friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6270; levenshtein=0.3333; semantic=0.7202; sequence_match=0.5185,False,0.6219,False,top-3 avg score 0.6219 < final_threshold 0.7
ObjectProperty,has playing area,has genre,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8208; levenshtein=0.4286; semantic=0.4903; sequence_match=0.5455,False,0.6189,False,top-3 avg score 0.6189 < final_threshold 0.7
ObjectProperty,has achievement,has friend,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6984; levenshtein=0.4286; semantic=0.6360; sequence_match=0.5217,False,0.6187,False,top-3 avg score 0.6187 < final_threshold 0.7
ObjectProperty,has item,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.6007; sequence_match=0.5333,False,0.6082,False,top-3 avg score 0.6082 < final_threshold 0.7
ObjectProperty,has character,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6627; levenshtein=0.4286; semantic=0.6890; sequence_match=0.4615,False,0.6044,False,top-3 avg score 0.6044 < final_threshold 0.7
ObjectProperty,has item,item has ability,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.2857; semantic=0.7329; sequence_match=0.3810,False,0.6015,False,top-3 avg score 0.6015 < final_threshold 0.7
ObjectProperty,has character,has friend,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6574; levenshtein=0.3333; semantic=0.6636; sequence_match=0.4762,False,0.5991,False,top-3 avg score 0.5991 < final_threshold 0.7
ObjectProperty,owns item,game has item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5598; levenshtein=0.4545; semantic=0.6991; sequence_match=0.5263,False,0.5951,False,top-3 avg score 0.5951 < final_threshold 0.7
ObjectProperty,has character,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6806; levenshtein=0.4167; semantic=0.5926; sequence_match=0.5000,False,0.591,False,top-3 avg score 0.5910 < final_threshold 0.7
ObjectProperty,has game genre,game has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6730; levenshtein=0.2500; semantic=0.6611; sequence_match=0.4348,False,0.5896,False,top-3 avg score 0.5896 < final_threshold 0.7
ObjectProperty,owns item,player has item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5365; levenshtein=0.3846; semantic=0.7376; sequence_match=0.4762,False,0.5834,False,top-3 avg score 0.5834 < final_threshold 0.7
