role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasduty,hasduty,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasconstraint,hasconstraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasoperator,hasoperator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,consequence,hasconsequence,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8680; levenshtein=0.7857; semantic=0.9272; sequence_match=0.8800,False,0.8917,True,selected
property,partof,ispartof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9167; levenshtein=0.7500; semantic=0.8314; sequence_match=0.8571,False,0.8684,True,selected
property,remedy,hasremedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8834; sequence_match=0.8000,False,0.8574,True,selected
property,hasprohibition,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8208; levenshtein=0.4286; semantic=0.6242; sequence_match=0.5455,False,0.6635,True,selected
property,scope,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.7117; sequence_match=0.5000,False,0.6293,True,selected
property,hasaction,hasrole,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.7063; sequence_match=0.5000,False,0.6261,True,selected
property,hasconstraint,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8366; levenshtein=0.6842; semantic=0.8277; sequence_match=0.8125,False,0.8256,False,gold already mapped to 'hasconstraint'
property,hasoperator,haslogicaloperator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8456; levenshtein=0.6111; semantic=0.7996; sequence_match=0.7586,False,0.8013,False,gold already mapped to 'hasoperator'
property,remedy,isremedyfor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8485; levenshtein=0.5455; semantic=0.8465; sequence_match=0.7059,False,0.8003,False,gold already mapped to 'hasremedy'
property,hasduty,hastype,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8667; levenshtein=0.4286; semantic=0.6797; sequence_match=0.7143,False,0.7535,False,gold already mapped to 'hasduty'
property,hasconstraint,expressesconstraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7175; levenshtein=0.5789; semantic=0.7987; sequence_match=0.6875,False,0.7346,False,gold already mapped to 'hasconstraint'
property,andsequence,hasconsequence,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.7411; levenshtein=0.6429; semantic=0.4535; sequence_match=0.8000,False,0.7280,False,pred already taken by 'consequence' (higher averaged score)
