side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,AcceptabilityProperty,WaterProperty,FN,,
gold,class,Actuator,Device,TP,,
gold,class,ChemicalProperty,WaterProperty,FN,,
gold,class,Meter,Device,FN,,
gold,class,Meter,Sensor,FN,,
gold,class,Point,Geometry,FN,,
gold,class,Sensor,Device,TP,,
gold,class,TimeBasedTariff,Tariff,FN,,
gold,class,Water,FeatureOfInterest,FN,,
gold,class,WaterAsset,FeatureOfInterest,FN,,
gold,class,WaterMeter,Device,TP,,
gold,class,WaterMeter,Meter,FN,,
gold,class,WaterMeter,Sensor,FN,,
pred,class,Actuator,WaterAsset,FP,,
pred,class,ChemicalProperty,Water,FP,,
pred,class,Device,WaterAsset,FP,,
pred,class,KeyPerformanceIndicator,Water,FP,,
pred,class,Sensor,WaterAsset,FP,,
pred,class,WaterMeter,WaterAsset,FP,,
pred,property,,,untranslated,hasSensor,comprisesAsset
pred,property,,,untranslated,isActuatorOf,comprisesAsset
pred,property,,,untranslated,isActuatorOf,isAssetOf
pred,property,,,untranslated,isSensorOf,isAssetOf
pred,property,,,untranslated,isWaterMeterOf,comprisesAsset
pred,property,,,untranslated,isWaterMeterOf,isAssetOf
