Gold_term,Pre_term,Method,Score
RedWine,Red Wine,hard_match,1.0
Region,Wine Region,top3_avg(jaro_winkler+semantic+sequence_match),0.7571598529815674
Vintage,Vintage Quality,top3_avg(jaro_winkler+semantic+sequence_match),0.8179608000649345
VintageYear,Vintage Evaluation,top3_avg(jaro_winkler+semantic+sequence_match),0.7744665238642954
WhiteWine,White Wine,hard_match,1.0
WineBody,Wine Body,hard_match,1.0
WineColor,Wine Color,hard_match,1.0
WineDescriptor,Wine Characteristic,top3_avg(jaro_winkler+semantic+sequence_match),0.6673073968616685
WineGrape,Wine Variety,top3_avg(jaro_winkler+semantic+sequence_match),0.7504810961752685
WineSugar,Wine Bouquet,top3_avg(jaro_winkler+semantic+sequence_match),0.6187006554887217
WineTaste,Wine Vintage Instance,top3_avg(jaro_winkler+semantic+sequence_match),0.7385903474448684
wine,Wine,hard_match,1.0
